,WAP006,WAP015,WAP016,WAP059,WAP077,WAP078,WAP082,WAP083,WAP084,WAP085,WAP088,WAP089,WAP102,WAP107,WAP108,WAP109,WAP110,WAP111,WAP112,WAP113,WAP114,WAP115,WAP116,WAP148,WAP149,WAP164,WAP165,WAP174,WAP175,WAP176,WAP177,WAP178,WAP179,WAP180,WAP181,WAP186,WAP187,WAP188,WAP189,WAP248,WAP255,WAP256,WAP257,WAP258,WAP259,WAP260,WAP261,WAP262,WAP263,WAP274,WAP278,WAP282,WAP284,WAP286,WAP288,WAP295,WAP310,WAP311,WAP312,WAP313,WAP314,WAP315,WAP316,WAP317,WAP318,WAP329,WAP334,WAP338,WAP340,WAP342,WAP344,WAP351,WAP366,WAP367,WAP368,WAP369,WAP370,WAP371,WAP372,WAP374,WAP375,WAP386,WAP390,WAP394,WAP396,WAP398,WAP400,WAP405,WAP478,WAP503,LATITUDE,LONGITUDE,FLOOR,LOC,USERID,TIMESTAMP
591,0,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,25,17,0,0,0,0,16,15,0,0,0,16,0,17,0,11,15,17,0,17,0,0,0,16,0,0,20,15,0,0,0,17,0,20,22,15,0,0,0,19,0,0,20,0,0,0,0,12,0,20,20,16,0,0,0,0,0,0,22,0,12,17,0,0,0,20,22,0,0,4864852.0842999965,-7458.26419999823,2,210,2,1371716146
593,0,15,15,0,0,0,0,0,0,0,13,14,0,7,0,0,9,0,0,15,0,16,18,0,0,0,0,21,21,0,7,15,15,0,0,0,0,15,13,0,20,0,0,0,10,0,0,16,8,0,22,0,0,0,20,0,20,0,0,0,0,0,0,17,0,0,21,0,11,0,22,17,20,13,0,0,14,0,0,0,0,0,16,0,9,0,22,0,0,0,4864852.0464766035,-7461.524049259721,2,204,2,1371716202
700,0,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,20,26,0,0,0,0,16,17,0,0,0,0,0,17,0,10,17,17,0,14,0,0,0,16,0,0,23,15,0,0,0,15,0,22,23,16,0,0,0,17,0,0,23,0,0,0,0,19,0,20,0,10,0,0,0,10,0,0,19,13,12,20,0,0,0,21,0,0,0,4864852.0842999965,-7458.26419999823,2,210,2,1371716145
701,0,15,13,0,0,0,0,0,0,0,0,16,0,7,0,0,0,0,0,0,0,16,17,0,0,0,0,23,24,0,0,15,17,0,0,0,0,16,13,0,15,0,0,0,0,0,0,16,8,0,22,0,0,0,23,0,20,0,0,0,0,0,0,17,0,0,18,0,11,0,22,17,20,0,0,0,11,0,0,0,0,0,16,0,9,0,23,0,0,0,4864852.0464766035,-7461.524049259721,2,204,2,1371716203
702,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17,19,13,0,14,13,25,25,0,0,12,12,23,24,10,0,0,0,0,16,0,15,17,17,0,19,0,0,0,0,0,0,20,10,16,23,0,0,0,20,16,16,0,0,0,10,0,0,19,0,0,21,0,17,0,20,0,16,0,0,0,0,0,11,19,9,0,13,0,22,0,0,0,0,0,4864853.930299997,-7457.242100000381,2,212,2,1371716116
811,0,15,13,0,0,0,0,0,0,0,0,0,0,13,0,9,0,0,0,13,15,28,26,0,0,0,0,19,19,0,8,0,0,8,0,16,13,17,18,0,14,0,0,0,0,0,0,23,0,0,0,0,15,0,20,23,10,0,0,0,11,0,0,23,0,13,0,0,19,0,19,23,10,0,0,0,15,0,0,21,12,0,20,0,0,0,21,0,0,0,4864852.0842999965,-7458.26419999823,2,210,2,1371716149
812,0,0,0,0,0,0,0,0,0,0,0,0,13,16,17,13,17,13,0,18,20,18,19,0,0,17,18,24,25,10,0,0,0,0,16,0,15,17,15,0,18,0,0,0,0,0,0,23,10,16,23,0,22,0,18,23,16,0,0,0,0,0,0,18,0,17,21,0,21,0,20,0,18,0,0,0,0,0,0,19,9,15,0,0,22,0,0,20,0,0,4864853.930299997,-7457.242100000381,2,212,2,1371716114
813,0,16,17,0,0,0,0,0,0,0,15,16,0,0,0,0,0,0,10,0,0,17,18,0,0,0,0,23,24,0,0,0,17,0,0,0,0,16,14,0,15,0,0,0,13,0,0,16,8,0,21,0,10,0,24,0,18,0,0,0,0,0,0,0,0,0,19,0,11,0,24,17,0,0,0,0,13,0,0,14,0,0,20,0,0,0,24,0,0,0,4864852.0464766035,-7461.524049259721,2,204,2,1371716204
917,0,16,12,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,11,0,0,17,16,0,0,0,0,26,22,0,0,17,0,0,0,0,0,13,14,0,0,0,0,0,13,0,0,0,0,8,19,0,10,0,24,0,18,0,0,0,10,0,0,13,0,0,17,0,0,0,24,0,0,0,0,0,12,0,0,14,0,0,20,0,9,0,24,0,0,0,4864852.0464766035,-7461.524049259721,2,204,2,1371716204
919,0,13,10,0,0,0,0,0,0,0,13,0,0,13,16,9,0,0,0,13,15,21,22,0,0,0,0,19,16,0,8,0,0,8,17,16,10,16,16,0,0,0,0,0,16,0,0,21,0,0,0,0,17,0,20,0,10,0,0,0,11,0,0,20,0,13,22,0,20,0,22,22,0,0,0,0,17,0,0,18,9,0,0,0,22,0,22,24,0,0,4864852.0842999965,-7458.26419999823,2,210,2,1371716149
920,0,0,0,0,0,0,0,0,0,0,0,0,13,16,12,13,17,0,0,18,20,18,23,0,0,17,18,27,25,0,0,0,14,0,0,0,0,17,17,0,13,0,0,0,0,0,15,18,0,19,0,0,13,0,13,23,16,0,0,0,12,0,0,16,9,16,0,0,21,0,0,23,13,0,0,0,0,0,0,19,0,15,0,0,0,0,0,25,0,0,4864853.930299997,-7457.242100000381,2,212,2,1371716114
1028,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,0,0,0,0,0,20,22,24,0,0,0,0,24,24,0,0,0,14,15,0,0,15,22,22,0,13,0,0,0,0,0,15,14,0,16,0,0,20,0,15,0,18,0,0,0,12,0,0,16,9,19,0,0,23,0,13,23,13,0,0,0,0,0,0,14,0,13,0,0,0,0,0,25,0,0,4864853.930299997,-7457.242100000381,2,212,2,1371716117
1030,0,13,12,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,11,0,0,16,17,0,0,0,14,21,24,0,0,16,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,8,19,0,10,0,22,0,11,0,0,0,10,0,0,13,0,0,19,0,0,0,23,16,0,0,0,0,17,0,0,15,0,0,18,0,11,0,23,0,0,0,4864852.0464766035,-7461.524049259721,2,204,2,1371716208
1033,0,15,14,0,0,0,0,0,0,0,14,0,0,0,16,0,0,0,0,0,15,21,22,0,0,0,12,16,16,0,0,18,13,0,17,11,10,15,15,0,0,0,0,0,16,0,0,22,0,0,0,0,17,0,17,0,0,0,0,0,16,0,0,22,13,0,22,0,20,0,20,22,0,0,0,0,17,0,0,24,9,9,0,0,22,0,16,21,0,0,4864852.0842999965,-7458.26419999823,2,210,2,1371716149
5136,0,16,0,0,19,19,0,24,34,34,0,0,0,0,0,28,28,41,41,0,0,0,0,32,22,23,26,40,40,0,0,0,0,0,0,41,41,53,53,0,0,0,24,24,0,25,0,0,0,23,0,0,0,17,0,0,0,0,24,0,0,24,0,0,0,22,0,20,0,17,0,0,0,20,23,29,0,24,21,0,0,22,0,0,0,19,17,0,0,0,4864810.030100003,-7460.767900001259,2,205,9,1371713755
5140,0,22,25,0,0,0,30,29,0,0,23,16,0,0,0,23,25,37,36,0,0,0,0,25,0,25,25,43,43,0,0,0,19,0,0,37,35,63,63,0,27,0,30,0,26,0,15,29,34,0,23,0,0,0,19,0,23,0,34,0,26,0,19,27,28,0,23,0,0,18,0,0,0,0,30,23,33,0,0,29,31,0,32,0,0,0,0,0,0,0,4864815.057400003,-7469.88919999823,2,196,9,1371713822
5141,0,0,0,15,16,0,26,26,29,30,0,0,0,0,0,22,26,33,33,0,0,0,0,0,0,27,35,40,39,0,0,0,14,0,0,36,35,49,49,0,0,0,20,31,0,23,26,0,0,0,0,23,0,37,0,0,0,0,20,34,0,0,24,0,0,22,0,26,0,24,0,0,0,0,21,34,16,0,0,30,23,0,0,22,0,39,17,0,0,0,4864815.285700001,-7457.755499999971,2,207,9,1371713783
5142,0,24,23,0,16,0,27,27,0,30,0,0,0,0,0,27,24,41,41,0,0,0,0,0,0,26,26,39,39,0,0,0,14,0,0,40,41,55,56,0,0,21,36,0,0,0,0,28,24,0,0,0,0,24,19,17,0,0,27,21,0,0,16,29,23,0,20,0,0,25,0,0,0,0,31,0,0,0,0,44,26,0,0,0,0,25,0,0,0,0,4864820.413199998,-7466.963700000197,2,200,9,1371713850
5143,0,0,0,0,0,0,0,0,15,0,0,0,0,0,16,45,45,25,24,0,0,35,24,0,0,40,36,59,59,0,0,0,15,0,0,25,26,48,48,0,0,0,0,0,0,0,0,0,0,23,0,0,19,0,18,19,0,0,0,0,0,0,15,0,0,21,23,0,20,0,18,0,15,0,0,0,19,0,17,0,0,21,0,0,23,0,18,0,0,0,4864831.2908999985,-7457.927200000732,2,209,9,1371713896
5144,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,19,19,0,0,24,27,32,32,0,0,18,18,25,25,18,21,0,23,25,25,16,18,21,21,0,15,0,0,17,16,0,17,0,0,22,0,0,23,0,16,26,18,0,0,0,23,0,0,20,0,22,0,29,29,0,22,25,15,0,0,0,0,0,21,20,0,0,0,0,29,0,0,26,22,0,4864853.930299997,-7457.242100000381,2,212,9,1371714059
5145,0,17,18,0,0,0,0,0,0,0,0,21,0,0,0,27,24,20,21,0,0,0,0,0,0,32,32,37,36,0,0,25,25,0,0,23,23,30,30,0,29,0,0,0,21,0,0,21,14,0,27,0,0,0,27,23,25,19,0,0,0,0,0,21,15,0,20,0,0,0,27,19,17,0,0,0,21,0,0,26,16,0,28,0,0,0,27,0,0,0,4864834.110160768,-7469.328741654754,2,199,9,1371713931
5146,0,0,0,0,0,0,15,0,0,0,0,0,14,18,18,20,0,0,0,22,23,30,30,0,0,28,22,32,32,19,19,17,19,20,20,15,15,29,29,19,17,0,0,13,20,0,16,19,0,16,24,0,26,0,21,25,20,0,0,0,17,0,0,21,0,0,21,0,26,0,21,23,19,0,0,0,0,15,20,0,0,0,20,0,25,0,23,23,0,0,4864852.0842999965,-7458.26419999823,2,210,9,1371714032
5148,0,15,15,0,0,0,0,0,0,14,0,0,0,0,0,43,44,31,30,0,0,0,0,0,0,40,40,64,64,0,0,0,0,16,0,29,27,45,45,0,0,0,0,0,17,0,20,0,0,0,0,0,16,0,18,0,0,0,0,0,13,0,20,16,13,0,0,0,17,0,16,0,0,0,0,0,0,0,20,0,0,19,0,0,16,0,0,0,0,0,4864828.6049000025,-7453.059500001371,2,214,9,1371713991
5152,0,0,0,0,0,0,0,0,0,0,0,0,0,26,24,16,0,0,0,22,22,29,29,0,0,21,21,35,35,17,18,0,0,18,19,19,19,28,27,0,0,0,0,0,22,15,21,0,0,20,0,0,24,0,23,30,0,0,0,0,21,17,23,17,0,19,0,0,28,0,22,27,0,0,0,15,22,15,0,18,0,24,22,0,26,0,23,26,20,16,4864853.930299997,-7457.242100000381,2,212,9,1371714709
5247,0,0,0,0,0,0,0,29,29,30,0,0,0,0,0,0,19,40,34,0,0,0,0,0,0,34,38,38,39,0,0,0,0,0,0,38,38,48,47,0,0,0,0,29,0,0,0,0,0,0,0,30,0,18,0,0,0,0,0,36,0,0,27,0,0,0,0,24,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4864815.285700001,-7457.755499999971,2,207,9,1371713780
5249,0,24,24,0,0,0,27,27,0,0,20,0,0,0,0,25,25,37,37,0,0,0,0,0,0,35,0,45,45,0,0,0,20,0,0,36,36,61,61,0,0,0,34,0,0,0,15,28,36,0,0,0,0,0,19,0,0,0,29,0,26,0,0,0,29,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4864815.057400003,-7469.88919999823,2,196,9,1371713820
5250,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,28,28,42,42,0,0,0,0,0,0,27,27,42,42,0,0,0,0,0,0,45,45,57,57,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,20,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,19,17,0,0,0,4864810.030100003,-7460.767900001259,2,205,9,1371713753
5252,0,0,21,0,0,0,0,30,0,0,0,0,0,0,0,20,20,39,40,0,0,0,0,0,0,28,30,40,41,0,0,0,0,0,0,36,39,59,59,0,0,0,0,0,0,0,0,0,35,0,0,0,0,29,0,0,0,0,0,0,0,0,0,29,0,0,19,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,4864820.413199998,-7466.963700000197,2,200,9,1371713847
5253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,0,45,0,0,0,24,0,0,31,30,58,58,0,0,0,15,0,0,24,27,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,23,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,23,0,17,0,0,0,4864831.2908999985,-7457.927200000732,2,209,9,1371713894
5254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,20,0,0,0,0,0,0,0,30,30,39,38,0,0,30,28,0,0,26,25,31,31,0,25,0,0,0,0,0,0,21,0,0,29,0,0,0,28,0,0,0,0,0,0,0,0,24,15,0,21,0,0,0,30,0,0,0,0,0,0,0,0,24,0,0,26,0,0,0,29,0,0,0,4864834.110160768,-7469.328741654754,2,199,9,1371713929
5255,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,45,45,30,30,0,0,0,0,0,0,47,47,64,64,0,0,0,0,0,0,26,28,48,48,0,0,0,0,0,17,0,22,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,4864828.6049000025,-7453.059500001371,2,214,9,1371713988
5256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,19,0,0,0,0,0,27,26,0,0,24,24,28,28,0,0,0,0,0,32,17,16,20,20,0,0,0,0,0,0,15,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,23,0,0,23,0,0,25,0,18,0,0,0,0,0,21,0,0,0,0,0,0,0,27,0,22,26,0,19,4864853.930299997,-7457.242100000381,2,212,9,1371714706
5259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,23,0,0,0,0,0,19,24,25,0,0,21,24,0,20,0,0,26,26,0,0,0,0,0,18,0,0,0,0,0,26,0,26,0,18,0,0,0,0,0,21,0,0,21,0,0,0,0,24,0,0,24,0,0,0,0,0,14,0,0,0,0,0,0,26,0,0,0,0,0,4864852.0842999965,-7458.26419999823,2,210,9,1371714030
5260,0,0,0,0,0,0,0,0,0,0,0,0,0,26,21,20,21,0,0,0,24,36,30,0,0,26,25,25,25,0,0,0,21,23,23,20,20,0,22,0,0,0,0,17,0,0,0,0,0,22,0,0,0,0,0,25,18,0,0,0,0,0,0,0,0,0,0,0,23,0,0,25,15,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,4864853.930299997,-7457.242100000381,2,212,9,1371714057
5350,0,0,0,0,0,18,0,0,40,33,0,0,0,0,0,32,32,41,41,0,0,0,0,32,33,26,27,40,40,0,0,0,0,0,0,42,41,53,53,0,0,0,0,0,0,24,0,0,0,23,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,22,0,20,0,17,0,0,0,0,23,29,0,0,0,0,0,0,0,0,0,19,17,0,0,0,4864810.030100003,-7460.767900001259,2,205,9,1371713753
5351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,44,0,45,0,0,0,24,0,0,38,38,58,58,0,0,0,15,0,0,32,28,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,21,0,0,0,0,0,0,0,0,0,18,0,0,21,0,0,23,0,17,0,0,0,4864831.2908999985,-7457.927200000732,2,209,9,1371713894
5352,0,0,0,15,0,0,0,28,29,30,0,0,0,0,0,0,19,39,33,0,0,0,0,0,0,34,35,37,37,0,0,0,14,0,0,41,41,45,45,0,0,0,0,34,0,0,0,0,0,0,0,30,0,25,0,0,0,0,0,33,0,0,27,0,0,21,0,24,0,25,0,0,0,0,0,30,0,0,0,30,0,0,0,0,0,20,17,0,0,0,4864815.285700001,-7457.755499999971,2,207,9,1371713781
5353,0,24,26,0,0,0,0,30,0,0,0,0,0,0,0,20,20,38,33,0,0,0,0,0,0,36,30,39,39,0,0,0,0,0,0,38,37,60,60,0,0,0,29,0,0,0,0,40,29,0,0,0,0,29,21,0,0,0,29,0,0,0,0,29,0,0,19,0,0,23,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,4864820.413199998,-7466.963700000197,2,200,9,1371713848
5354,0,24,24,0,0,0,27,27,0,0,20,0,0,0,0,25,25,35,35,0,0,0,0,25,0,35,0,40,40,0,0,0,20,0,0,39,39,61,61,0,0,0,30,0,0,0,15,41,28,0,0,0,0,0,19,0,0,0,30,0,26,0,0,28,32,0,0,0,0,0,0,0,0,0,35,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,4864815.057400003,-7469.88919999823,2,196,9,1371713820
5355,0,0,0,0,0,0,0,0,0,0,0,0,0,26,21,20,21,0,0,0,24,36,30,0,0,26,24,25,25,21,15,0,21,23,23,20,20,17,20,0,0,0,0,17,16,0,0,0,0,22,0,0,0,0,16,25,18,0,0,0,0,0,0,0,0,0,0,0,28,0,0,25,15,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,4864853.930299997,-7457.242100000381,2,212,9,1371714057
5356,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,45,45,43,29,0,0,0,0,0,0,47,47,64,64,0,0,0,0,0,0,25,27,47,46,0,0,0,0,0,17,0,22,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,4864828.6049000025,-7453.059500001371,2,214,9,1371713988
5357,0,0,0,0,0,0,0,0,0,0,0,0,0,27,22,0,0,0,0,0,23,27,27,0,0,0,19,24,26,0,0,18,18,0,22,0,0,26,26,20,0,0,0,13,18,0,0,0,0,0,25,0,26,0,18,24,20,0,0,0,21,0,0,21,0,0,0,0,24,0,0,26,0,0,0,0,0,14,21,0,0,0,22,0,26,0,0,0,0,0,4864852.0842999965,-7458.26419999823,2,210,9,1371714030
5358,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,22,22,20,0,0,0,0,0,0,0,32,32,38,38,0,0,24,28,0,0,24,24,31,31,0,19,0,0,0,22,0,0,21,0,0,20,0,0,0,28,0,0,0,0,0,0,0,0,24,15,0,21,0,0,0,30,0,0,0,0,0,0,0,0,26,0,0,26,0,0,0,27,0,0,0,4864834.110160768,-7469.328741654754,2,199,9,1371713929
5362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,19,0,0,0,0,27,27,26,0,0,24,23,27,27,0,0,0,0,0,32,17,16,20,20,0,0,0,0,0,22,15,0,0,0,0,0,0,27,0,21,0,0,0,0,0,0,0,23,0,0,23,0,0,24,0,18,30,0,0,0,0,21,15,0,0,0,0,0,0,26,0,22,26,0,16,4864853.930299997,-7457.242100000381,2,212,9,1371714707
5449,0,0,0,0,19,19,0,0,39,33,0,0,0,0,0,31,31,41,41,0,0,0,0,32,33,26,27,41,41,0,0,0,0,0,0,41,45,53,53,0,0,0,23,0,0,24,0,0,0,23,0,0,0,18,0,0,0,0,23,0,0,0,0,0,0,22,0,20,0,17,0,0,0,0,23,29,0,0,0,0,0,0,0,0,0,19,17,0,0,0,4864810.030100003,-7460.767900001259,2,205,9,1371713753
5450,0,24,21,0,0,0,27,27,0,0,20,0,0,0,0,24,25,35,36,0,0,0,0,25,0,35,0,43,43,0,0,0,20,0,0,38,38,53,62,0,0,0,31,0,0,0,15,29,28,0,0,0,0,0,19,0,0,0,30,0,26,0,0,29,32,0,0,0,0,0,0,0,0,0,34,0,0,0,0,29,30,0,0,0,0,0,0,0,0,0,4864815.057400003,-7469.88919999823,2,196,9,1371713821
5451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,45,0,0,0,24,0,0,37,37,58,58,0,0,0,15,0,0,28,28,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,21,0,0,0,0,0,0,0,0,0,18,0,0,21,0,0,23,0,17,0,0,0,4864831.2908999985,-7457.927200000732,2,209,9,1371713895
5452,0,0,0,15,0,0,0,28,29,30,0,0,0,0,0,0,19,41,32,0,0,0,0,0,0,34,34,38,37,0,0,0,14,0,0,41,40,44,44,0,0,0,20,34,0,0,0,0,0,0,0,30,0,33,0,0,0,0,20,33,0,0,28,0,0,21,0,24,0,21,0,0,0,0,21,30,0,0,0,30,0,0,0,0,0,21,17,0,0,0,4864815.285700001,-7457.755499999971,2,207,9,1371713782
5453,0,24,26,0,0,0,0,30,0,0,0,0,0,0,0,20,20,40,40,0,0,0,0,0,0,36,30,39,39,0,0,0,0,0,0,39,37,61,61,0,0,0,29,0,0,0,0,40,29,0,0,0,0,23,19,17,0,0,28,0,0,0,0,29,0,0,19,0,0,23,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,4864820.413199998,-7466.963700000197,2,200,9,1371713848
5454,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,46,46,30,29,0,0,0,0,0,0,42,42,64,64,0,0,0,0,0,0,27,27,46,46,0,0,0,0,0,17,0,22,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,20,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,4864828.6049000025,-7453.059500001371,2,214,9,1371713988
5455,0,0,0,0,0,0,0,0,0,0,0,0,0,27,22,0,0,0,0,22,22,27,27,0,0,0,19,24,26,0,0,18,18,0,22,0,0,27,27,19,0,0,0,13,18,0,0,19,0,0,25,0,27,0,19,26,20,0,0,0,21,0,0,21,0,0,0,0,27,0,0,26,0,0,0,0,0,14,20,0,0,0,21,0,25,0,0,0,0,0,4864852.0842999965,-7458.26419999823,2,210,9,1371714030
